"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test Case 24: Download Invoice after purchase order.","20001","Test Case 24: Download Invoice after purchase order","tests","2026-09-09","passed","2026-09-09","","test_checkout","",""
"Test Case 14: Place Order: Register while Checkout.","21683","Test Case 14: Place Order: Register while Checkout","tests","2026-09-09","passed","2026-09-09","","test_checkout","",""
"Test Case 10: Verify Subscription in home page.","5234","Test Case 10: Verify Subscription in home page","tests","2026-09-09","passed","2026-09-09","","test_home_ui","",""
"Test Case 16: Place Order: Login before Checkout.","10140","Test Case 16: Place Order: Login before Checkout","tests","2026-09-09","passed","2026-09-09","","test_checkout","",""
"Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality.","5181","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality","tests","2026-09-09","passed","2026-09-09","","test_home_ui","",""
"Test Case 9: Search Product.","5477","Test Case 9: Search Product","tests","2026-09-09","passed","2026-09-09","","test_products","",""
"Test Case 3: Login User with incorrect email and password.","2166","Test Case 3: Login User with incorrect email and password","tests","2026-09-09","passed","2026-09-09","","test_authorization_flow","",""
"Test Case 14: Place Order: Register while Checkout.","19847","Test Case 14: Place Order: Register while Checkout","tests","2026-09-09","passed","2026-09-09","","test_checkout","",""
"Test Case 19: View & Cart Brand Products.","5577","Test Case 19: View & Cart Brand Products","tests","2026-09-09","passed","2026-09-09","","test_products","",""
"Test Case 17: Remove Products From Cart.","5867","Test Case 17: Remove Products From Cart","tests","2026-09-09","passed","2026-09-09","","test_cart","",""
"Test Case 6: Contact Us Form.","3243","Test Case 6: Contact Us Form","tests","2026-09-09","passed","2026-09-09","","test_contact_us","",""
"Test Case 22: Add to cart from Recommended items.","3623","Test Case 22: Add to cart from Recommended items","tests","2026-09-09","passed","2026-09-09","","test_cart","",""
"Test Case 12: Add Products in Cart.","7288","Test Case 12: Add Products in Cart","tests","2026-09-09","passed","2026-09-09","","test_cart","",""
"Test Case 21: Add review on product.","4457","Test Case 21: Add review on product","tests","2026-09-09","passed","2026-09-09","","test_products","",""
"Test Case 18: View Category Products.","4017","Test Case 18: View Category Products","tests","2026-09-09","passed","2026-09-09","","test_products","",""
"Test Case 4: Logout User.","4337","Test Case 4: Logout User","tests","2026-09-09","passed","2026-09-09","","test_authorization_flow","",""
"Test Case 7: Verify Test Cases Page.","1392","Test Case 7: Verify Test Cases Page","tests","2026-09-09","passed","2026-09-09","","test_products","",""
"Test Case 13: Verify Product quantity in Cart.","2742","Test Case 13: Verify Product quantity in Cart","tests","2026-09-09","passed","2026-09-09","","test_cart","",""
"Test Case 23: Verify address details in checkout page.","10258","Test Case 23: Verify address details in checkout page","tests","2026-09-09","passed","2026-09-09","","test_checkout","",""
"Test Case 9: Search Product.","4413","Test Case 9: Search Product","tests","2026-09-09","passed","2026-09-09","","test_products","",""
"Test Case 19: View & Cart Brand Products.","6425","Test Case 19: View & Cart Brand Products","tests","2026-09-09","passed","2026-09-09","","test_products","",""
"Test Case 8: Verify All Products and product detail page.","4680","Test Case 8: Verify All Products and product detail page","tests","2026-09-09","passed","2026-09-09","","test_products","",""
"Test Case 1: Register User.","6534","Test Case 1: Register User","tests","2026-09-09","passed","2026-09-09","","test_authorization_flow","",""
"Test Case 1: Register User.","6547","Test Case 1: Register User","tests","2026-09-09","passed","2026-09-09","","test_authorization_flow","",""
"Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality.","2274","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","tests","2026-09-09","passed","2026-09-09","","test_home_ui","",""
"Test Case 13: Verify Product quantity in Cart.","2719","Test Case 13: Verify Product quantity in Cart","tests","2026-09-09","passed","2026-09-09","","test_cart","",""
"Test Case 3: Login User with incorrect email and password.","1793","Test Case 3: Login User with incorrect email and password","tests","2026-09-09","passed","2026-09-09","","test_authorization_flow","",""
"Test Case 23: Verify address details in checkout page.","11863","Test Case 23: Verify address details in checkout page","tests","2026-09-09","passed","2026-09-09","","test_checkout","",""
"Test Case 15: Place Order: Register before Checkout.","13172","Test Case 15: Place Order: Register before Checkout","tests","2026-09-09","passed","2026-09-09","","test_checkout","",""
"Test Case 8: Verify All Products and product detail page.","3694","Test Case 8: Verify All Products and product detail page","tests","2026-09-09","passed","2026-09-09","","test_products","",""
"Test Case 6: Contact Us Form.","4160","Test Case 6: Contact Us Form","tests","2026-09-09","passed","2026-09-09","","test_contact_us","",""
"Test Case 22: Add to cart from Recommended items.","2146","Test Case 22: Add to cart from Recommended items","tests","2026-09-09","passed","2026-09-09","","test_cart","",""
"Test Case 7: Verify Test Cases Page.","1867","Test Case 7: Verify Test Cases Page","tests","2026-09-09","passed","2026-09-09","","test_products","",""
"Test Case 2: Login User with correct email and password.","3499","Test Case 2: Login User with correct email and password","tests","2026-09-09","passed","2026-09-09","","test_authorization_flow","",""
"Test Case 15: Place Order: Register before Checkout.","13165","Test Case 15: Place Order: Register before Checkout","tests","2026-09-09","passed","2026-09-09","","test_checkout","",""
"Test Case 20: Search Products and Verify Cart After Login.","8534","Test Case 20: Search Products and Verify Cart After Login","tests","2026-09-09","passed","2026-09-09","","test_cart","",""
